name,score,popularity,genres,studios,type,year,episodes,themes,demographic,members,synopsis,features
Osomatsu-san Short Film Series,6.5,8335.0,Comedy,10Gauge,Special,,7.0,"Adult Cast, Gag Humor, Parody",,6584.0,,"Comedy 10Gauge Special Adult Cast, Gag Humor, Parody "
Project HAL,5.63,15317.0,,,ONA,,3.0,Mecha,,879.0,,  ONA Mecha 
Undouki Kenshin Manual Taiou Taisou,,20348.0,,Kachidoki Studio,Special,,1.0,,Kids,319.0,, Kachidoki Studio Special  Kids
Saga-ken wo Meguru Animation,6.09,12051.0,Slice of Life,"Seven Arcs, TMS Entertainment, Seven Arcs Pictures",Movie,,4.0,,,2202.0,,"Slice of Life Seven Arcs, TMS Entertainment, Seven Arcs Pictures Movie  "
KochinPa!,4.13,11407.0,Comedy,,TV,2016.0,12.0,,,2641.0,,Comedy  TV  
Mim Mam Mint,,16686.0,Comedy,Kachidoki Studio,TV,2016.0,4.0,,,631.0,,Comedy Kachidoki Studio TV  
Marshmallow★Imouto★Succubus★,6.91,6424.0,Hentai,T-Rex,OVA,,2.0,,,12490.0,,Hentai T-Rex OVA  
Clockwork Planet,6.45,1591.0,"Fantasy, Sci-Fi",Xebec,TV,2017.0,12.0,,,167047.0,,"Fantasy, Sci-Fi Xebec TV  "
"Kinyoru, Abe Reiji: Heikinteki na Salaryman no Ijou na Nichijou (ONA)",5.28,18826.0,Comedy,,ONA,,2.0,Racing,,428.0,,Comedy  ONA Racing 
Shinmai Maou no Testament Burst Specials,6.78,4050.0,"Comedy, Supernatural, Ecchi",Production IMS,Special,,5.0,,,37787.0,,"Comedy, Supernatural, Ecchi Production IMS Special  "
Dimension W: W no Tobira Online - Rose no Onayami Soudanshitsu,5.72,6521.0,Sci-Fi,Studio 3Hz,Special,,5.0,,Seinen,12019.0,,Sci-Fi Studio 3Hz Special  Seinen
Kigyou Senshi Arslan,6.48,8023.0,Comedy,W-Toon Studio,Special,,6.0,Parody,,7227.0,,Comedy W-Toon Studio Special Parody 
Garo: Honoo no Kokuin - Home,6.75,6450.0,"Action, Fantasy",MAPPA,Special,,1.0,,,12375.0,,"Action, Fantasy MAPPA Special  "
Chibinacs,,20589.0,Comedy,,TV,2006.0,25.0,,,306.0,,Comedy  TV  
Chibinacs 2.0,,20651.0,Comedy,,TV,2007.0,25.0,,,302.0,,Comedy  TV  
Chibinacs 3,,19953.0,Comedy,,TV,2008.0,25.0,,,346.0,,Comedy  TV  
Pretty x Cation The Animation,7.17,6312.0,Hentai,T-Rex,OVA,,2.0,,,13006.0,,Hentai T-Rex OVA  
One Piece: Long Ring Long Land-hen,6.78,6615.0,"Action, Adventure, Fantasy",Toei Animation,TV Special,,1.0,,Shounen,11653.0,,"Action, Adventure, Fantasy Toei Animation TV Special  Shounen"
Mayoiga,5.49,1214.0,"Drama, Horror, Mystery, Suspense",Diomedéa,TV,2016.0,12.0,"Psychological, Survival",,224263.0,,"Drama, Horror, Mystery, Suspense Diomedéa TV Psychological, Survival "
Nora to Oujo to Noraneko Heart,5.4,3762.0,"Comedy, Ecchi","W-Toon Studio, DMM.futureworks",TV,2017.0,11.0,,,43692.0,,"Comedy, Ecchi W-Toon Studio, DMM.futureworks TV  "
Kirin Ashita no Calendar,5.89,16270.0,,,TV,1980.0,1306.0,Historical,Kids,693.0,,  TV Historical Kids
Usakame,5.76,6133.0,"Comedy, Sports",Millepensee,TV,2016.0,12.0,,Shounen,13971.0,,"Comedy, Sports Millepensee TV  Shounen"
Gekidol: Actidol Project,5.5,5709.0,"Drama, Sci-Fi",Hoods Entertainment,TV,2021.0,12.0,"Idols (Female), Music, Performing Arts",,16937.0,,"Drama, Sci-Fi Hoods Entertainment TV Idols (Female), Music, Performing Arts "
Mitsuami no Kamisama,6.72,8449.0,"Avant Garde, Drama",Production I.G,Movie,,1.0,,Seinen,6376.0,,"Avant Garde, Drama Production I.G Movie  Seinen"
Under the Dog: Anthea-chan,4.63,9539.0,"Action, Comedy",Kinema Citrus,ONA,,1.0,Parody,,4597.0,,"Action, Comedy Kinema Citrus ONA Parody "
Love Live! The School Idol Movie: Gekijou Manner CMs,6.38,8711.0,Comedy,Sunrise,Movie,,4.0,Idols (Female),,5934.0,,Comedy Sunrise Movie Idols (Female) 
Love Live! Kouhaku Special Anime,6.37,8589.0,,Sunrise,Special,,1.0,"Idols (Female), Music",,6094.0,," Sunrise Special Idols (Female), Music "
Cheer Danshi!!,6.66,2985.0,Sports,Brain's Base,TV,2016.0,12.0,"Adult Cast, Performing Arts",,66171.0,,"Sports Brain's Base TV Adult Cast, Performing Arts "
A-Size Classmate,5.67,7042.0,Hentai,Studio 9 Maiami,OVA,,2.0,,,10069.0,,Hentai Studio 9 Maiami OVA  
Prison School: Mad Wax,7.35,1593.0,"Comedy, Ecchi",J.C.Staff,OVA,,1.0,"Gag Humor, School",Seinen,166860.0,,"Comedy, Ecchi J.C.Staff OVA Gag Humor, School Seinen"
Kanojo to Kanojo no Neko: Everything Flows,7.66,1777.0,Slice of Life,LIDENFILMS,TV,2016.0,4.0,Pets,,143986.0,,Slice of Life LIDENFILMS TV Pets 
Days,7.16,1710.0,Sports,MAPPA,TV,2016.0,24.0,"School, Team Sports",Shounen,150465.0,,"Sports MAPPA TV School, Team Sports Shounen"
BlazBlue: Alter Memory Specials,6.08,9977.0,Comedy,"Hoods Entertainment, teamKG",Special,,6.0,,,4036.0,,"Comedy Hoods Entertainment, teamKG Special  "
"Kemeko Deluxe!: Izumi-chan, Fukenkou yo! (Kari)",5.96,12640.0,Ecchi,HAL Film Maker,Special,,1.0,,,1832.0,,Ecchi HAL Film Maker Special  
Girls & Panzer: Nihon Senshadou Renmei News,6.79,8713.0,Comedy,Actas,Special,,2.0,CGDCT,,5934.0,,Comedy Actas Special CGDCT 
Shoujo kara Shoujo e...,6.96,7191.0,Hentai,BreakBottle,OVA,,2.0,,,9572.0,,Hentai BreakBottle OVA  
Love Live! Sunshine!!,7.39,1399.0,Slice of Life,Sunrise,TV,2016.0,13.0,"Idols (Female), Music, School",,192143.0,,"Slice of Life Sunrise TV Idols (Female), Music, School "
Xiyou Ji: Dasheng Guilai,6.69,10683.0,"Adventure, Fantasy, Supernatural",October Media,Movie,,1.0,"Historical, Martial Arts",,3236.0,,"Adventure, Fantasy, Supernatural October Media Movie Historical, Martial Arts "
